"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","cluster541.cds.aln-cln","MIX{TIM2e,TNe+FO}+G","G4",-6233.3597,-4655.2722,"TIM2e{0.51583,0.52531,1.02815}+FQ;TNe{9.51798,100}+FQ",12578.7194,12585.4112,12854.1663,"Mixture",1011,26,0.497527200791296,"29.08%",467,30,0.6522,2.6084,0.71,69.7997,6.3559,NA,"3.6253","0.7731","0.2133","0","0.0114","0.0253","0.0647","0.0812","0.4859"
"One_class","cluster541.cds.aln-cln","TIM2e+I+R2","I+R2",-6264.337,-4655.2722,"TIM2e{0.5244,1.245,0.5244,1,2.715,1}+I{0.25,0.25,0.25,0.25}",12638.674,12645.1242,12909.2022,"Mixture",1011,26,0.497527200791296,"29.08%",467,30,0.6522,2.1707,0.5779,57.5847,4.9246,NA,"3.1717","0.6881","0.2169","0","0.0133","0.029","0.074","0.087","0.6073"
"Mixture","cluster5441.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-3780.8607,-2677.4151,"TNe{6.88137,15.413}+FQ;JC",7667.7213,7676.6372,7908.6248,"Mixture",696,26,0.579022988505747,"22.70%",251,32,0.6957,0.5,0.182,52.9906,0.7508,NA,"1.1934","0.1996","0.1673","0","0.0015","0.0107","0.0231","0.0195","0.3531"
"One_class","cluster5441.cds.aln-cln","TNe+G4","G4",-3790.5309,-2677.4151,"TNe{1,3.1408,1,1,5.3617,1}+G4{0.25,0.25,0.25,0.25}",7685.0619,7693.6342,7921.4201,"Mixture",696,26,0.579022988505747,"22.70%",251,34,0.7391,0.5137,0.1604,56.8155,0.6915,NA,"1.1328","0.2023","0.1786","0","0.0015","0.0108","0.0244","0.0185","0.3901"
"Mixture","cluster5438.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-14690.2463,-12720.267,"TN{10.3154,22.719}+FO{0.259567,0.188706,0.290612,0.261114};JC",29492.4925,29494.5768,29831.0455,"Mixture",3120,26,0.629166666666667,"23.65%",755,16,0.3478,0.4849,0.1367,29.95,0.8491,NA,"0.9413","0.3086","0.3278","0","9e-04","0.0082","0.0181","0.0123","0.1626"
"One_class","cluster5438.cds.aln-cln","TN+F+G4","G4",-14753.7282,-12720.267,"TN{1,4.1125,1,1,6.3315,1}+F{0.2717,0.2072,0.2512,0.27}",29617.4565,29619.4669,29949.9638,"Mixture",3120,26,0.629166666666667,"23.65%",755,16,0.3478,0.4772,0.1317,29.95,0.7843,NA,"0.8867","0.2851","0.3215","0","9e-04","0.0082","0.0192","0.0123","0.1798"
"Mixture","cluster5487.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-9333.4829,-7238.0492,"K2P{13.275}+FQ;JC",18770.9659,18774.5381,19050.4792,"Mixture",1596,26,0.539473684210526,"27.44%",600,18,0.3913,0.2275,0.0565,41.3401,0.2747,NA,"1.1474","0.2264","0.1973","0","0.0014","0.0108","0.0225","0.0206","0.2213"
"One_class","cluster5487.cds.aln-cln","K2P+G4","G4",-9363.918,-7238.0492,"K2P{1,3.6581,1,1,3.6581,1}+G4{0.25,0.25,0.25,0.25}",18829.8359,18833.2712,19103.974,"Mixture",1596,26,0.539473684210526,"27.44%",600,18,0.3913,0.2145,0.0504,38.1051,0.2564,NA,"1.1043","0.2224","0.2014","0","0.0012","0.0109","0.0234","0.0208","0.24"
"Mixture","cluster5510.cds.aln-cln","TIM+FO+G4","G4",-6469.7325,-5184.0329,"TIM{1,4.5541,1.7911,1.7911,12.2321,1}+FO{0.2783,0.1965,0.2946,0.2306}",13051.465,13055.8436,13349.5625,"Mixture",1515,26,0.664686468646865,"16.77%",347,20,0.4348,0.4695,0.1115,31.1288,1.2749,NA,"0.6687","0.1218","0.1821","0","7e-04","0.0053","0.0137","0.0134","0.1665"
"One_class","cluster5510.cds.aln-cln","TIM+F+G4","G4",-6471.5579,-5184.0329,"TIM{1,4.5035,1.7784,1.7784,12.0842,1}+F{0.2738,0.2064,0.2987,0.2211}",13055.1158,13059.4944,13353.2133,"Mixture",1515,26,0.664686468646865,"16.77%",347,24,0.5217,0.4688,0.1114,41.2432,1.2814,NA,"0.669","0.1491","0.2229","0","7e-04","0.0048","0.0136","0.0134","0.1671"
"Mixture","cluster4599.cds.aln-cln","MIX{TIM3+FO,TIM2+FO,TN+FO,TPM3u+FO,TPM2u+FO}+I+G","I+G4",-10988.3328,-9756.9465,"TIM3{1.00747,0.0627252,1.27186}+FO{0.607694,0.10252,0.187737,0.102049};TIM2{20.2273,100,8.45229}+FO{0.0366324,0.219394,0.368995,0.374979};TN{0.550374,0.000100854}+FO{0.0436586,0.00467238,0.940727,0.0109424};TPM3u{0.00462463,1.18047}+FO{0.00541132,0.345009,0.610549,0.0390301};TPM2u{0.164334,100}+FO{0.570668,0.367095,0.00302844,0.0592088}",22140.6657,22146.2307,22619.1832,"Mixture",2529,26,0.740213523131673,"16.88%",556,30,0.6522,0.8193,0.2989,45.4753,3.5072,NA,"1.6524","0.6596","0.3992","9e-04","0.002","0.0113","0.0154","0.0164","0.0799"
"One_class","cluster4599.cds.aln-cln","TIM3+F+I+R2","I+R2",-11303.5993,-9756.9465,"TIM3{0.6278,1.2421,1,0.6278,4.1689,1}+F{0.2101,0.2428,0.3413,0.2058}",22723.1985,22725.9694,23061.6621,"Mixture",2529,26,0.740213523131673,"16.88%",556,30,0.6522,0.6092,0.2029,40.4599,0.9491,NA,"0.7538","0.2344","0.311","0","0.0028","0.0157","0.0337","0.0265","0.2638"
"Mixture","cluster5439.cds.aln-cln","MIX{K3Pu+FO,TN+FO,HKY+FO,K80+FO}+G","G4",-5810.0641,-4088.1998,"K3Pu{4.03,0.0001}+FO{0.324845,0.00260859,0.000384149,0.672163};TN{1.79453,2.23971}+FO{0.135399,0.271253,0.460765,0.132583};HKY{2.98936}+FO{0.0563788,0.633814,0.0543846,0.255422};K2P{3.37004}+FQ",11756.1282,11765.607,12093.7537,"Mixture",1059,26,0.591123701605288,"26.72%",353,26,0.5652,0.7526,0.2465,39.9124,3.0449,NA,"1.6634","0.4761","0.2862","0","0.002","0.0088","0.0245","0.0147","0.2498"
"One_class","cluster5439.cds.aln-cln","K3Pu+F+G4","G4",-5873.8074,-4088.1998,"K3Pu{1,3.854,1.8046,1.8046,3.854,1}+F{0.1906,0.285,0.2484,0.276}",11857.6147,11863.7563,12130.6941,"Mixture",1059,26,0.591123701605288,"26.72%",353,28,0.6087,0.3776,0.0966,45.7493,1.1925,NA,"1.2006","0.3228","0.2689","0","0.0018","0.0102","0.0339","0.0171","0.375"
"Mixture","cluster5542.cds.aln-cln","MIX{HKY+FO,K80+FO}+G","G4",-5153.5528,-4051.3334,"HKY{1.65672}+FO{0.191944,0.265455,0.32793,0.214671};K2P{83.4079}+FQ",10419.1055,10426.6516,10688.226,"Mixture",903,26,0.576965669988926,"28.90%",372,30,0.6522,0.6798,0.2065,43.6807,1.4786,NA,"1.1634","0.2607","0.2241","0","0.0024","0.009","0.0229","0.0221","0.2396"
"One_class","cluster5542.cds.aln-cln","TN+F+I","I",-5173.3021,-4051.3334,"TN{1,2.3871,1,1,3.8482,1}+F{0.2169,0.235,0.3166,0.2314}",10456.6042,10463.877,10720.919,"Mixture",903,26,0.576965669988926,"28.90%",372,28,0.6087,0.6135,0.1856,40.2616,1.1729,NA,"1.1198","0.2697","0.2408","0","0.0022","0.0089","0.0237","0.0215","0.2847"
"Mixture","cluster5652.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-4884.5508,-3598.1932,"K2P{11.5244}+FQ;JC",9873.1015,9878.8372,10129.0278,"Mixture",1014,26,0.636094674556213,"19.82%",299,28,0.6087,0.4192,0.1122,48.7442,1.0778,NA,"0.7795","0.1645","0.211","0","0.0014","0.0079","0.0156","0.0162","0.1521"
"One_class","cluster5652.cds.aln-cln","K2P+G4","G4",-4894.5441,-3598.1932,"K2P{1,4.0536,1,1,4.0536,1}+G4{0.25,0.25,0.25,0.25}",9891.0881,9896.6016,10142.0927,"Mixture",1014,26,0.636094674556213,"19.82%",299,28,0.6087,0.431,0.1179,47.9166,1.1194,NA,"0.7628","0.1644","0.2155","0","0.0012","0.008","0.0159","0.0163","0.1587"
"Mixture","cluster4380.cds.aln-cln","MIX{TN+FO,JC+FO,HKY+FO,F81+FO,HKY+FO,F81+FO}+I+R3","I+R3",-12167.7435,-10346.2739,"TN{10.362,6.9852}+FO{0.200644,0.185288,0.161637,0.452431};JC;HKY{3.4812}+FO{0.0443164,0.0185599,0.913783,0.0233407};F81+FO{0.944721,0.00225822,0.0409887,0.0120323};HKY{7.98135}+FO{0.0680785,0.793747,0.115232,0.0229422};F81+FO{0.544161,0.205256,0.000100097,0.250482}",24491.4869,24497.2919,24935.8624,"Mixture",2202,26,0.564486830154405,"22.75%",752,28,0.6087,0.367,0.1424,36.0139,0.8135,NA,"1.3726","0.298","0.2171","0","0.0023","0.013","0.0216","0.0204","0.2323"
"One_class","cluster4380.cds.aln-cln","TIM2+F+I+R3","I+R3",-12328.4073,-10346.2739,"TIM2{1.3194,3.8623,1.3194,1,5.7242,1}+F{0.2621,0.2083,0.2756,0.254}",24776.8145,24780.2335,25118.6418,"Mixture",2202,26,0.564486830154405,"22.75%",752,26,0.5652,0.21,0.0436,34.3511,0.4005,NA,"1.0608","0.2207","0.2081","0","0.0025","0.0148","0.028","0.0244","0.3592"
"Mixture","cluster5538.cds.aln-cln","MIX{K2P,JC+FO}+I+G","I+G4",-8854.574,-7111.9705,"K2P{8.25573}+FQ;JC",17815.1481,17819.6694,18089.9736,"Mixture",1320,26,0.443181818181818,"38.71%",654,26,0.5652,0.6863,0.3223,40,3.4176,NA,"1.73","0.608","0.3514","0","0.0023","0.0157","0.0337","0.0231","0.3843"
"One_class","cluster5538.cds.aln-cln","K2P+I+G4","I+G4",-8877.9102,-7111.9705,"K2P{1,3.378,1,1,3.378,1}+I{0.25,0.25,0.25,0.25}",17859.8204,17864.1708,18129.4605,"Mixture",1320,26,0.443181818181818,"38.71%",654,26,0.5652,0.6083,0.2832,40,3.0643,NA,"1.6491","0.5803","0.3519","0","0.0024","0.0158","0.0353","0.0232","0.4235"
"Mixture","cluster5545.cds.aln-cln","TN+FO+G4","G4",-10477.6271,-10725.1484,"TN{1,2.5355,1,1,5.0875,1}+FO{0.282,0.1997,0.298,0.2204}",21065.2542,21068.441,21373.0005,"Mixture",1989,26,0.540472599296129,"24.43%",817,28,0.6087,0.2563,0.0497,39.4588,0.1843,NA,"1.0626","0.2276","0.2142","0","0.0013","0.0097","0.0216","0.019","0.2377"
"One_class","cluster5545.cds.aln-cln","TN+F+G4","G4",-10478.2482,-10725.1484,"TN{1,2.4919,1,1,5.1663,1}+F{0.2848,0.2002,0.3027,0.2124}",21066.4965,21069.6832,21374.2428,"Mixture",1989,26,0.540472599296129,"24.43%",817,28,0.6087,0.2558,0.0495,39.4588,0.1864,NA,"1.0604","0.2272","0.2143","0","0.0013","0.0098","0.0217","0.0191","0.2384"
"Mixture","cluster5669.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-6508.2106,-4585.5213,"K2P{7.30679}+FQ;JC",13120.4212,13126.1929,13376.0388,"Mixture",1008,26,0.492063492063492,"28.37%",447,28,0.6087,0.3411,0.0878,35.609,0.6253,NA,"1.3026","0.2346","0.1801","0","0.0016","0.0163","0.0261","0.0247","0.2073"
"One_class","cluster5669.cds.aln-cln","K2P+G4","G4",-6521.3492,-4585.5213,"K2P{1,3.0509,1,1,3.0509,1}+G4{0.25,0.25,0.25,0.25}",13144.6984,13150.2465,13395.4003,"Mixture",1008,26,0.492063492063492,"28.37%",447,28,0.6087,0.3422,0.0848,35.609,0.5751,NA,"1.2768","0.2326","0.1822","0","0.0015","0.0164","0.0266","0.0251","0.2144"
"Mixture","cluster5572.cds.aln-cln","MIX{TN+FO,HKY+FO}+G","G4",-6577.8776,-5809.2046,"TN{1.71454,0.0001}+FO{0.143136,0.0576964,0.733641,0.0655262};HKY{5.03131}+FO{0.326564,0.246123,0.13236,0.294953}",13275.7553,13281.7113,13585.4991,"Mixture",1290,26,0.572093023255814,"20.70%",445,24,0.5217,0.3054,0.0819,32.5576,0.6069,NA,"0.9858","0.1708","0.1733","0","0.002","0.009","0.019","0.0153","0.2186"
"One_class","cluster5572.cds.aln-cln","TN+F+G4","G4",-6601.6398,-5809.2046,"TN{1,3.1522,1,1,5.9714,1}+F{0.2808,0.2009,0.2904,0.2279}",13313.2797,13318.2716,13597.2115,"Mixture",1290,26,0.572093023255814,"20.70%",445,24,0.5217,0.3111,0.0799,34.4674,0.7199,NA,"0.932","0.163","0.1749","0","0.0018","0.0096","0.0201","0.0161","0.2418"
"Mixture","cluster5400.cds.aln-cln","MIX{TIM2+FO,TNe+FO,TIM3e+FO,JC+FO,K81+FO}+I+R3","I+R3",-12780.8158,-9172.8644,"TIM2{0.234098,0.185372,1.482}+FO{0.183976,0.150351,0.401114,0.264559};TNe{38.7883,66.4291}+FQ;TIM3e{94.7514,81.748,5.41634}+FQ;JC;K3P{0.0001,43.4092}+FQ",25703.6315,25707.9075,26116.0801,"Mixture",2463,26,0.634997969955339,"22.13%",605,26,0.5652,0.8327,0.4251,42.8952,2.1293,NA,"1.6789","0.2966","0.1767","0","0.0018","0.0107","0.0244","0.0176","0.3765"
"One_class","cluster5400.cds.aln-cln","TIM2+F+I+R2","I+R2",-13000.785,-9172.8644,"TIM2{0.5466,2.0905,0.5466,1,3.4828,1}+F{0.2193,0.2307,0.2933,0.2568}",26117.57,26120.4169,26454.4998,"Mixture",2463,26,0.634997969955339,"22.13%",605,26,0.5652,0.492,0.1761,40,0.5798,NA,"1.1962","0.2308","0.1929","0","0.0013","0.0115","0.0343","0.0199","0.6319"
"Mixture","cluster5762.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-6339.0756,-5681.9981,"K2P{6.28678}+FQ;JC",12782.1512,12786.512,13051.673,"Mixture",1317,26,0.610478359908884,"18.45%",433,26,0.5652,0.4353,0.1085,35.9444,1.2029,NA,"0.7588","0.149","0.1964","0","0.0014","0.0085","0.0153","0.0172","0.1685"
"One_class","cluster5762.cds.aln-cln","K2P+G4","G4",-6343.4885,-5681.9981,"K2P{1,3.8893,1,1,3.8893,1}+G4{0.25,0.25,0.25,0.25}",12788.977,12793.1698,13053.3156,"Mixture",1317,26,0.610478359908884,"18.45%",433,26,0.5652,0.4417,0.1114,35.9444,1.2199,NA,"0.752","0.1485","0.1975","0","0.0014","0.0085","0.0155","0.0173","0.1718"
"Mixture","cluster5771.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-5013.5204,-3839.9487,"K2P{12.7899}+FQ;JC",10131.0407,10137.3044,10382.6378,"Mixture",933,26,0.579849946409432,"22.40%",332,32,0.6957,0.2732,0.0577,51.5073,0.7231,NA,"0.9574","0.1335","0.1394","0","0.0011","0.0111","0.0191","0.0202","0.2026"
"One_class","cluster5771.cds.aln-cln","K2P+G4","G4",-5029.6664,-3839.9487,"K2P{1,3.7428,1,1,3.7428,1}+G4{0.25,0.25,0.25,0.25}",10161.3328,10167.3532,10408.0915,"Mixture",933,26,0.579849946409432,"22.40%",332,32,0.6957,0.2941,0.0645,51.5073,0.7804,NA,"0.934","0.131","0.1403","0","0.0011","0.0111","0.0195","0.0194","0.2132"
"Mixture","cluster5725.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-11450.0037,-10919.792,"K2P{6.76981}+FQ;JC",23004.0074,23007.1734,23289.602,"Mixture",1794,26,0.42530657748049,"27.87%",967,22,0.4783,0.4831,0.1449,27.2764,0.9705,NA,"1.4941","0.3378","0.2261","0","0.0018","0.0192","0.0298","0.0307","0.3108"
"One_class","cluster5725.cds.aln-cln","K2P+G4","G4",-11467.9798,-10919.792,"K2P{1,3.1104,1,1,3.1104,1}+G4{0.25,0.25,0.25,0.25}",23037.9595,23041.0043,23318.0619,"Mixture",1794,26,0.42530657748049,"27.87%",967,22,0.4783,0.4423,0.1265,34.1906,0.8673,NA,"1.4597","0.3297","0.2259","0","0.0018","0.0183","0.0305","0.0309","0.3272"
"Mixture","cluster4306.cds.aln-cln","MIX{TIM2+FO,K80+FO,HKY+FO,HKY+FO}+I+G","I+G4",-42599.1069,-60836.3605,"TIM2{0.453756,0.912415,100}+FO{0.380547,0.466953,0.147397,0.00510271};K2P{65.9418}+FQ;HKY{24.7884}+FO{0.00856757,0.0425333,0.915085,0.0338137};HKY{2.782}+FO{0.260489,0.156639,0.194216,0.388655}",85336.2137,85337.1756,85834.5025,"Mixture",10113,26,0.639078413922674,"15.55%",2646,20,0.4348,0.2244,0.0506,42.3792,0.248,NA,"1.0009","0.2494","0.2492","0","8e-04","0.0084","0.0174","0.0143","0.156"
"One_class","cluster4306.cds.aln-cln","TIM2+F+G4","G4",-42719.6864,-60836.3605,"TIM2{1.232,3.519,1.232,1,4.8222,1}+F{0.2533,0.2165,0.2699,0.2603}",85551.3729,85552.0077,85955.7812,"Mixture",10113,26,0.639078413922674,"15.55%",2646,20,0.4348,0.3014,0.0843,42.3792,0.7038,NA,"0.8503","0.2089","0.2457","0","8e-04","0.0091","0.0204","0.0155","0.1941"
"Mixture","cluster5805.cds.aln-cln","TN+FO+G4","G4",-1538.4317,-1186.785,"TN{1,2.0792,1,1,5.8248,1}+FO{0.3069,0.2082,0.3057,0.1791}",3186.8634,3204.8226,3406.2563,"Mixture",399,26,0.699248120300752,"14.04%",100,30,0.6522,0.7126,0.1731,45.8694,1.439,NA,"0.5321","0.1487","0.2795","0","0.0025","0.003","0.0108","0.0103","0.1556"
"One_class","cluster5805.cds.aln-cln","TN+F+G4","G4",-1538.6191,-1186.785,"TN{1,2.086,1,1,5.8359,1}+F{0.2982,0.2122,0.3146,0.175}",3187.2381,3205.1973,3406.631,"Mixture",399,26,0.699248120300752,"14.04%",100,30,0.6522,0.7134,0.1734,39.2938,1.4419,NA,"0.5312","0.1485","0.2796","0","0.0024","0.003","0.0109","0.0103","0.156"
"Mixture","cluster5761.cds.aln-cln","MIX{TN+FO,JC+FO,K80+FO}+G","G4",-4805.4706,-3980.2163,"TN{0.816304,11.3956}+FO{0.237451,0.047147,0.330977,0.384425};JC;K2P{26.2215}+FQ",9726.9411,9733.7647,10015.0799,"Mixture",1062,26,0.643126177024482,"19.30%",290,32,0.6957,0.5526,0.1563,43.6005,1.0677,NA,"0.9373","0.243","0.2593","0","0.001","0.006","0.017","0.012","0.1459"
"One_class","cluster5761.cds.aln-cln","TN+F+G4","G4",-4831.2504,-3980.2163,"TN{1,3.3909,1,1,5.2787,1}+F{0.2595,0.1952,0.2596,0.2856}",9772.5008,9778.624,10045.7358,"Mixture",1062,26,0.643126177024482,"19.30%",290,32,0.6957,0.5483,0.1457,45.299,1.0445,NA,"0.8328","0.2154","0.2586","0","0.001","0.0058","0.0191","0.0122","0.1758"
"Mixture","cluster5799.cds.aln-cln","TN+FO+I+R2","I+R2",-6290.9783,-5054.3523,"TN{1,2.7538,1,1,4.8862,1}+FO{0.2883,0.1909,0.2677,0.2531}",12695.9566,12701.2975,12990.4778,"Mixture",1296,26,0.60570987654321,"19.29%",414,26,0.5652,0.3112,0.0759,43.4051,0.4156,NA,"0.9846","0.2154","0.2188","0","0.0014","0.0095","0.0201","0.0182","0.1677"
"One_class","cluster5799.cds.aln-cln","TN+F+I+R2","I+R2",-6291.1447,-5054.3523,"TN{1,2.7341,1,1,4.9561,1}+F{0.2903,0.1918,0.2704,0.2475}",12696.2895,12701.6303,12990.8106,"Mixture",1296,26,0.60570987654321,"19.29%",414,26,0.5652,0.3111,0.0758,42.9069,0.4151,NA,"0.9853","0.2155","0.2187","0","0.0014","0.0095","0.0201","0.0182","0.1676"
"Mixture","cluster5455.cds.aln-cln","MIX{TN+FO,JC+FO,HKY+FO,K80+FO}+I+G","I+G4",-16041.9378,-13609.9727,"TN{4.38034,8.92292}+FO{0.379539,0.1557,0.0885576,0.376204};JC;HKY{20.0402}+FO{0.0256579,0.026718,0.835715,0.111909};K2P{7.93497}+FQ",32211.8755,32214.7074,32596.347,"Mixture",3003,26,0.587412587412587,"24.91%",956,26,0.5652,0.4444,0.1401,41.5692,0.8049,NA,"1.0706","0.2323","0.217","0","0.0011","0.0125","0.0198","0.0172","0.1589"
"One_class","cluster5455.cds.aln-cln","TN+F+I+G4","I+G4",-16095.6729,-13609.9727,"TN{1,2.9088,1,1,5.2082,1}+F{0.2506,0.1983,0.2906,0.2606}",32303.3458,32305.5128,32639.7583,"Mixture",3003,26,0.587412587412587,"24.91%",956,26,0.5652,0.4319,0.1324,41.5692,0.7193,NA,"0.9679","0.2043","0.2111","0","0.0012","0.013","0.0218","0.0178","0.1862"
"Mixture","cluster5769.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-10826.3309,-11447.8098,"TNe{6.90898,10.41}+FQ;JC",21758.6617,21761.2934,22061.2551,"Mixture",2229,26,0.588604755495738,"18.39%",797,24,0.5217,0.3601,0.0897,39.0384,0.5737,NA,"0.9751","0.144","0.1477","0","9e-04","0.0089","0.0194","0.0153","0.1839"
"One_class","cluster5769.cds.aln-cln","TNe+G4","G4",-10837.7146,-11447.8098,"TNe{1,3.6968,1,1,5.051,1}+G4{0.25,0.25,0.25,0.25}",21779.4292,21781.9623,22076.3132,"Mixture",2229,26,0.588604755495738,"18.39%",797,24,0.5217,0.3594,0.0902,36.6742,0.6157,NA,"0.9506","0.146","0.1536","0","9e-04","0.009","0.0199","0.0153","0.1946"
"Mixture","cluster5791.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-11594.0027,-10633.3227,"K2P{10.4984}+FQ;JC",23292.0053,23295.0306,23579.8962,"Mixture",1875,26,0.468266666666667,"29.55%",914,20,0.4348,0.2151,0.0648,44.238,0.5928,NA,"1.2884","0.306","0.2375","3e-04","0.0018","0.0162","0.0255","0.026","0.2616"
"One_class","cluster5791.cds.aln-cln","K2P+G4","G4",-11629.5567,-10633.3227,"K2P{1,3.1698,1,1,3.1698,1}+G4{0.25,0.25,0.25,0.25}",23361.1134,23364.0229,23643.4679,"Mixture",1875,26,0.468266666666667,"29.55%",914,22,0.4783,0.1857,0.0479,44.238,0.4777,NA,"1.2513","0.3014","0.2409","1e-04","0.0017","0.0163","0.0263","0.0269","0.2788"
"Mixture","cluster5959.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-6921.5841,-5723.9667,"K2P{11.3165}+FQ;JC",13947.1682,13951.8394,14213.2629,"Mixture",1233,26,0.547445255474453,"24.33%",500,22,0.4783,0.2317,0.0607,42.8135,0.5884,NA,"1.026","0.155","0.1511","0","0.0013","0.0119","0.0203","0.0215","0.2277"
"One_class","cluster5959.cds.aln-cln","K2P+I","I",-6941.4777,-5723.9667,"K2P{1,3.772,1,1,3.772,1}+I{0.25,0.25,0.25,0.25}",13984.9554,13989.4465,14245.9329,"Mixture",1233,26,0.547445255474453,"24.33%",500,26,0.5652,0.2256,0.0584,40.4599,0.6595,NA,"0.9944","0.1985","0.1996","0","0.0011","0.012","0.0209","0.0214","0.2497"
"Mixture","cluster5878.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-10140.1862,-8948.4265,"TN{5.86932,10.3519}+FO{0.292317,0.17833,0.242282,0.287071};JC",20392.3724,20395.8724,20702.5877,"Mixture",1881,26,0.575757575757576,"22.70%",670,18,0.3913,0.2929,0.0908,37.3229,0.7564,NA,"0.9763","0.1701","0.1742","0","0.0011","0.0137","0.0196","0.0203","0.1546"
"One_class","cluster5878.cds.aln-cln","TN+F+G4","G4",-10157.9288,-8948.4265,"TN{1,3.4742,1,1,5.4553,1}+F{0.2836,0.1943,0.2474,0.2748}",20425.8576,20429.2329,20730.5333,"Mixture",1881,26,0.575757575757576,"22.70%",670,18,0.3913,0.2995,0.0945,37.3229,0.7975,NA,"0.9591","0.1679","0.1751","0","9e-04","0.0138","0.0199","0.0208","0.1586"
"Mixture","cluster5971.cds.aln-cln","MIX{TN+FO,JC+FO}+I+G","I+G4",-5188.083,-3956.4799,"TN{10.9878,22.8661}+FO{0.291874,0.187429,0.28176,0.238936};JC",10490.1659,10495.3928,10785.8624,"Mixture",1323,26,0.739984882842026,"14.29%",267,30,0.6522,0.5498,0.1448,46.6476,1.5419,NA,"0.598","0.1269","0.2122","0","7e-04","0.0056","0.012","0.0127","0.1176"
"One_class","cluster5971.cds.aln-cln","K2P+I+G4","I+G4",-5215.0197,-3956.4799,"K2P{1,4.9313,1,1,4.9313,1}+I{0.25,0.25,0.25,0.25}",10534.0394,10538.3796,10803.7976,"Mixture",1323,26,0.739984882842026,"14.29%",267,30,0.6522,0.5655,0.1515,48.2494,1.5813,NA,"0.5861","0.1245","0.2124","0","7e-04","0.0056","0.0122","0.0126","0.1251"
"Mixture","cluster5955.cds.aln-cln","MIX{TIM+FO,JC+FO,K80+FO}+G","G4",-9862.7349,-9046.2218,"TIM{0.212543,4.78511,21.0162}+FO{0.387491,0.0652529,0.28979,0.257466};JC;K2P{7.2131}+FQ",19843.4698,19846.91,20177.3052,"Mixture",2118,26,0.609537299338999,"20.02%",564,30,0.6522,0.3491,0.083,40.5586,0.9698,NA,"0.7932","0.1436","0.181","0","0.001","0.0067","0.0157","0.0127","0.2032"
"One_class","cluster5955.cds.aln-cln","TIM+F+G4","G4",-9880.0707,-9046.2218,"TIM{1,4.9886,1.5992,1.5992,7.4288,1}+F{0.2839,0.2134,0.2578,0.2449}",19872.1414,19875.2389,20189.0022,"Mixture",2118,26,0.609537299338999,"20.02%",564,30,0.6522,0.3726,0.0882,40.5586,1.0315,NA,"0.7693","0.1397","0.1816","0","0.001","0.0068","0.0162","0.0128","0.2158"
"Mixture","cluster5926.cds.aln-cln","MIX{K2P,JC+FO}+I+R2","I+R2",-7328.7237,-6115.4255,"K2P{11.5678}+FQ;JC",14765.4473,14770.3042,15043.7121,"Mixture",1278,26,0.532863849765258,"24.96%",508,26,0.5652,0.3095,0.107,40.9878,0.5486,NA,"1.1524","0.229","0.1987","0","0.0015","0.0089","0.0223","0.0231","0.2217"
"One_class","cluster5926.cds.aln-cln","K2P+G4","G4",-7362.9468,-6115.4255,"K2P{1,3.1282,1,1,3.1282,1}+G4{0.25,0.25,0.25,0.25}",14827.8937,14832.2199,15090.6993,"Mixture",1278,26,0.532863849765258,"24.96%",508,22,0.4783,0.3024,0.1012,35.1568,0.5339,NA,"1.0941","0.2184","0.1996","0","0.0017","0.0088","0.0235","0.0226","0.2429"
"Mixture","cluster6036.cds.aln-cln","TNe+I","I",-2498.8188,-1955.7149,"TNe{1,2.5303,1,1,4.0872,1}+I{0.25,0.25,0.25,0.25}",5101.6376,5114.1934,5319.9585,"One_class",492,26,0.571138211382114,"23.37%",203,32,0.6957,0.9005,0.2264,76.1315,1.9782,NA,"1.096","0.3742","0.3414","0","0.002","0.0089","0.0233","0.0255","0.1698"
"One_class","cluster6036.cds.aln-cln","TNe+G4","G4",-2498.6742,-1955.7149,"TNe{1,2.4149,1,1,4.3735,1}+G4{0.25,0.25,0.25,0.25}",5101.3483,5113.9041,5319.6692,"One_class",492,26,0.571138211382114,"23.37%",203,32,0.6957,0.9071,0.2337,76.2693,2.1452,NA,"1.14","0.3894","0.3416","0","0.002","0.0091","0.0224","0.0231","0.1659"
